Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Integers,min of two,10,9,0.9,3,69
Singly Linked List,deallocate,11,2,0.5,4,30
Singly Linked List,initialize,13,8,3.9,4,2243
Singly Linked List,deallocate two,25,4,1.2,9,168
Singly Linked List,non-destructive append,FAIL,21,-,FAIL,7160
Singly Linked List,intersection,FAIL,16,-,FAIL,5028
Sorted list,insert,FAIL,21,-,FAIL,1417
Sorted list,reverse,FAIL,9,-,FAIL,6235
Sorted list,merge,FAIL,23,-,FAIL,3390
Doubly Linked List,singleton,FAIL,13,-,FAIL,196
Doubly Linked List,append,FAIL,20,-,FAIL,3319
Doubly Linked List,delete,FAIL,18,-,FAIL,5402
List of Lists,flatten,FAIL,12,-,FAIL,3699
List of Lists,length,FAIL,12,-,FAIL,2675
Binary Tree,size,FAIL,13,-,FAIL,11265
Binary Tree,deallocate,16,2,0.9,6,82
Binary Tree,copy,FAIL,12,-,FAIL,7512
Binary Tree,flatten to dll in place,FAIL,5,-,FAIL,3771
BST,insert,FAIL,21,-,FAIL,4432
BST,rotate left,FAIL,74,-,FAIL,6464
BST,delete root,FAIL,41,-,FAIL,2231
BST,from list,FAIL,15,-,FAIL,3086
Rose Tree,flatten,FAIL,10,-,FAIL,496
Packed Tree,pack,FAIL,36,-,FAIL,2169
