Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Integers,min of two,10,9,0.6,3,30
Singly Linked List,min,104,22,5.5,32,803
Singly Linked List,singleton,11,12,0.5,4,36
Singly Linked List,initialize,13,8,0.9,4,115
Singly Linked List,delete,51,16,2.5,16,381
Singly Linked List,intersection,FAIL,16,-,FAIL,5122
Doubly Linked List,singleton,14,13,0.5,5,38
Doubly Linked List,single to double,66,11,1.6,23,242
List of Lists,length,FAIL,12,-,FAIL,3290
Binary Tree,size,35,13,1.3,10,242
Binary Tree,deallocate,16,2,0.4,6,26
Binary Tree,flatten w/append,48,10,1.7,17,309
Binary Tree,flatten w/acc,63,17,1.9,21,380
Binary Tree,flatten to dll in place,54,5,3.8,17,1420
BST,rotate left,15,74,8.2,5,2149
BST,rotate right,15,74,5.1,5,1185
BST,delete root,FAIL,41,-,FAIL,2816
BST,to sorted list,67,15,13.7,21,4182
Rose Tree,deallocate,24,2,0.6,9,47
Rose Tree,flatten,FAIL,10,-,FAIL,5873
Packed Tree,pack,FAIL,36,-,FAIL,2919
Packed Tree,unpack,FAIL,25,-,FAIL,3001
