Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Singly Linked List,length,21,15,1.2,6,271
Singly Linked List,max,FAIL,22,-,FAIL,1375
Singly Linked List,delete,FAIL,16,-,FAIL,723
Singly Linked List,deallocate two,25,4,0.4,9,66
Singly Linked List,append three,FAIL,21,-,FAIL,1967
Singly Linked List,non-destructive append,FAIL,21,-,FAIL,3037
Singly Linked List,difference,FAIL,14,-,FAIL,1720
Sorted list,insert,FAIL,21,-,FAIL,344
Sorted list,merge,FAIL,23,-,FAIL,1405
List of Lists,length,FAIL,12,-,FAIL,2339
Binary Tree,deallocate,16,2,0.3,6,26
Binary Tree,deallocate two,47,4,0.8,16,213
BST,rotate right,FAIL,74,-,FAIL,1857
BST,find min,FAIL,25,-,FAIL,1501
BST,find max,FAIL,25,-,FAIL,1538
BST,delete root,FAIL,41,-,FAIL,1126
BST,to sorted list,FAIL,15,-,FAIL,2120
Rose Tree,copy,FAIL,12,-,FAIL,1826
Packed Tree,unpack,FAIL,25,-,FAIL,1478
