Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Singly Linked List,length,21,15,0.9,6,168
Singly Linked List,max,93,22,4.6,28,854
Singly Linked List,delete,51,16,2.2,16,504
Singly Linked List,deallocate two,25,4,0.5,9,66
Singly Linked List,append three,58,21,1.7,18,444
Singly Linked List,non-destructive append,FAIL,21,-,FAIL,2174
Singly Linked List,difference,FAIL,14,-,FAIL,1680
Sorted list,insert,99,21,4.9,30,1184
Sorted list,merge,FAIL,23,-,FAIL,936
List of Lists,length,FAIL,12,-,FAIL,1546
Binary Tree,deallocate,16,2,0.3,6,26
Binary Tree,deallocate two,47,4,0.9,16,213
BST,rotate right,FAIL,74,-,FAIL,1532
BST,find min,FAIL,25,-,FAIL,1167
BST,find max,FAIL,25,-,FAIL,1174
BST,delete root,FAIL,41,-,FAIL,966
BST,to sorted list,FAIL,15,-,FAIL,1134
Rose Tree,copy,FAIL,12,-,FAIL,2310
Packed Tree,unpack,FAIL,25,-,FAIL,1720
