Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Singly Linked List,length,FAIL,15,-,FAIL,90
Singly Linked List,max,FAIL,22,-,FAIL,67
Singly Linked List,delete,FAIL,16,-,FAIL,83
Singly Linked List,deallocate two,25,4,3.2,9,66
Singly Linked List,append three,FAIL,21,-,FAIL,110
Singly Linked List,non-destructive append,FAIL,21,-,FAIL,115
Singly Linked List,difference,FAIL,14,-,FAIL,97
Sorted list,insert,FAIL,21,-,FAIL,79
Sorted list,merge,FAIL,23,-,FAIL,77
List of Lists,length,FAIL,12,-,FAIL,82
Binary Tree,deallocate,16,2,2.1,6,26
Binary Tree,deallocate two,FAIL,4,-,FAIL,154
BST,rotate right,FAIL,74,-,FAIL,55
BST,find min,FAIL,25,-,FAIL,55
BST,find max,FAIL,25,-,FAIL,57
BST,delete root,FAIL,41,-,FAIL,51
BST,to sorted list,FAIL,15,-,FAIL,75
Rose Tree,copy,FAIL,12,-,FAIL,121
Packed Tree,unpack,FAIL,25,-,FAIL,112
