Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Integers,swap two,12,12,0.2,4,9
Integers,min of two,10,9,0.5,3,29
Singly Linked List,length,FAIL,15,-,FAIL,82
Singly Linked List,min,FAIL,22,-,FAIL,116
Singly Linked List,singleton,11,12,0.5,4,35
Singly Linked List,initialize,13,8,1.0,4,105
Singly Linked List,append,FAIL,17,-,FAIL,1232
Singly Linked List,delete,FAIL,16,-,FAIL,126
Singly Linked List,append three,FAIL,21,-,FAIL,1711
Singly Linked List,non-destructive append,FAIL,21,-,FAIL,655
Singly Linked List,deduplicate,FAIL,10,-,FAIL,44
Sorted list,prepend,11,29,0.6,4,42
Sorted list,reverse,FAIL,9,-,FAIL,268
Sorted list,merge,FAIL,23,-,FAIL,1576
Doubly Linked List,singleton,14,13,0.5,5,36
Doubly Linked List,copy,FAIL,15,-,FAIL,601
Doubly Linked List,append,FAIL,20,-,FAIL,1238
Doubly Linked List,delete,FAIL,18,-,FAIL,217
Doubly Linked List,single to double,FAIL,11,-,FAIL,42
List of Lists,deallocate,FAIL,3,-,FAIL,522
Binary Tree,size,FAIL,13,-,FAIL,96
Binary Tree,deallocate two,47,4,2.2,16,370
Binary Tree,flatten w/append,FAIL,10,-,FAIL,36
Binary Tree,flatten w/acc,FAIL,17,-,FAIL,190
Binary Tree,flatten,FAIL,10,-,FAIL,36
Binary Tree,flatten to dll in place,FAIL,5,-,FAIL,2102
Binary Tree,flatten to dll w/null,FAIL,5,-,FAIL,3109
BST,rotate left,15,74,6.4,5,977
BST,find min,FAIL,25,-,FAIL,285
BST,to sorted list,FAIL,15,-,FAIL,55
Rose Tree,deallocate,FAIL,2,-,FAIL,154
Rose Tree,copy,FAIL,12,-,FAIL,1423
